company,job_title,country,city,district,job_type
Finiex Soft,Software Tester - Alexandria,Egypt,Alexandria,Fleming,Full Time
Algoriza,Senior React Native Developer,Egypt,Giza,6th of October,Full Time
ITS,Database Administrator,Egypt,Cairo,,Full Time
Dorra Group,Apex Developer,Egypt,Giza,6th of October,Full Time
Outservingplus,Senior QA testing / Software Company,Egypt,Giza,,Freelance / Project
Outservingplus,UX Designer,Egypt,Giza,,Freelance / Project
Nahdet Misr Publishing Group,Technical Writer,Egypt,Giza,Mohandessin,Part Time
Nahdet Misr Publishing Group,Technical Writer,Egypt,Giza,Mohandessin,Freelance / Project
Amazon Data Services Emirates LLC - Dubai Branch - K71,Snr Data Center Project Engineer,United Arab Emirates,Dubai,,Full Time
Jumia,Engineering Manager,Egypt,Cairo,New Cairo,Full Time
Jumia,Java Software Engineer,Egypt,Cairo,,Full Time
Teachanywhere,"secondary design and innovation teacher - abu dhabi, aug 2024",United Arab Emirates,Dubai,,Full Time
"IOActive, Inc.",Senior Security Consultant - Latin America,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,"CONSULTANT, GYNECOLOGY ONCOLOGY",Saudi Arabia,Medina,,Full Time
Cargoes,Group Senior Manager - Tax (UAE CIT) United Arab Emirates Posted on 10/16/2023 Trending,United Arab Emirates,Dubai,,Full Time
Jumia,Senior Golang Software Engineer,Egypt,Cairo,New Cairo,Full Time
"White House Nannies, Inc.",Ideal Hours for Nanny Job w/ 1 Baby,Egypt,Alexandria,,Full Time
ADNOC (Abu Dhabi National Oil Company),"Senior Engineer, Mechanical",United Arab Emirates,Abu Dhabi,,Full Time
DXC.technology,Project Manager,Egypt,Cairo,,Full Time
Giza Arabia Systems,Security Infrastructure Engineer,Egypt,Cairo,,Full Time
Persistence Recruitment,Senior Product Manager - CRM & Ecommerce,Saudi Arabia,Riyadh,,Full Time
Xische & Co,UI/UX Designer(4-7yrs),United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,"MANAGEMENT CONSULTANT, ADMINISTRATIVE AND FINANCIAL SERVICES",Saudi Arabia,Riyadh,,Full Time
Transguard group,System Administrator - ICT Infrastructure,United Arab Emirates,Dubai,,Full Time
Tasnee,"Sr Analyst II, Management Information Job",Saudi Arabia,Riyadh,,Full Time
Vector Construction,Engineer - Level 1,United Arab Emirates,Dubai,,Full Time
Professional Recruitment,Manpower Administration Specialist,Saudi Arabia,Riyadh,,Full Time
Perfect Presentation,Junior IOS Developer,Egypt,Giza,6th of October,Full Time
Perfect Presentation,Junior Andriod Developer,Egypt,Giza,6th of October,Full Time
Perfect Presentation,Senior Android Developer,Egypt,Giza,6th of October,Full Time
Qsource,Technical Support,Egypt,Cairo,New Cairo,Full Time
Confidential,IT Help Desk Specialist,Egypt,Alexandria,,Full Time
Azdan Business Analytics,Oracle EPM Senior Consultant-Planning,Egypt,Cairo,,Full Time
"GreatAuPair, LLC",I''m a wheelchair user,United Arab Emirates,Dubai,,Full Time
Al Ahly capital holding - Al Ahly Tamkeen,Senior Oracle Apps Functional Consultant,Egypt,Cairo,Zamalek,Full Time
John Wood Group PLC,Lead PACO / Lead Instrumentation & Control Engineer,United Arab Emirates,Dubai,,Full Time
Gulf Business Machines PND,TLS Brand Seller MVS,United Arab Emirates,Dubai,,Full Time
KBR Inc.,Engineering Data Analyst (Digital Twin),Saudi Arabia,Riyadh,,Full Time
flydubai,Senior Software Engineer – RPA,United Arab Emirates,Dubai,,Full Time
Giza Arabia Systems,Cybersecurity Operations Engineer,Egypt,Cairo,,Full Time
Charterhouse Middle East,KYC Compliance Analyst (Mandarin Speaking),United Arab Emirates,Dubai,,Full Time
"Halliburton Energy Services, Inc.",Service Operator I-Testing Tools,Egypt,Cairo,,Full Time
John Wood Group PLC,Lead Technical HSE Engineer,United Arab Emirates,Dubai,,Full Time
UrbaCon Contracting & Trading Company,Senior Chef De Partie,Qatar,Doha,,Full Time
Gulf Business Machines PND,Technology Engineer - Client Engineering,Saudi Arabia,Riyadh,,Full Time
Petrofac,Principal Engineer - Systems Engineering,United Arab Emirates,Dubai,,Full Time
MICA,Java Instructor,Egypt,Giza,Haram,Full Time
HITS Solutions,Software Developer,Egypt,Cairo,Nasr City,Full Time
9H Capital,Technical Traffic Manager/Projects Lead,Egypt,Cairo,,Full Time
9H Capital,Technical Traffic Manager/Projects Lead,Egypt,Cairo,,Work From Home
9H Capital,Brand Graphic Designer,Egypt,Cairo,,Full Time
9H Capital,Brand Graphic Designer,Egypt,Cairo,,Work From Home
Azdan Business Analytics,Oracle Senior EPM Consultant (Consolidation),Egypt,Cairo,,Full Time
Alouf Travel,IT Specialist,Egypt,Giza,6th of October,Full Time
InnovaDigits,Senior Python Developer (Django),Egypt,Cairo,,Full Time
InnovaDigits,Senior Python Developer (Django),Egypt,Cairo,,Work From Home
InnovaDigits,Senior Front End Developer (React.js),Egypt,Cairo,,Full Time
InnovaDigits,Senior Front End Developer (React.js),Egypt,Cairo,,Work From Home
Oracle - Egypt,HR Consultant,Kuwait,Kuwait City,,Full Time
DIRAC SYSTEMS,Software Tele-sales,Egypt,Cairo,Heliopolis,Full Time
DIRAC SYSTEMS,Software sales Specialist,Egypt,Cairo,Heliopolis,Full Time
3S Software,Full Stack Developer Team Lead,Egypt,Cairo,Nasr City,Full Time
3S Software,Full Stack Developer Team Lead,Egypt,Cairo,Nasr City,Work From Home
Ahmed El-Sallab,IT Help Desk,Egypt,Cairo,Mokattam,Full Time
Nahdetmisr For Environmental services,DotNet Developer,Egypt,Alexandria,Moharam Bek,Full Time
Confidential,Senior Technical Recruiter,Egypt,Cairo,Maadi,Full Time
Global Brands,Junior React Developer,Egypt,Cairo,New Cairo,Full Time
intrazero,Senior Front End Developer,Saudi Arabia,Riyadh,,Full Time
Four Seasons Hotels and Resorts,Server - Mina Brasserie,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,COMPUTED TOMOGRAPHY TECHNOLOGIST,Saudi Arabia,Riyadh,,Full Time
IBM WTC Egypt,Package Consultant - German Speaking,Egypt,Cairo,,Full Time
DXC.technology,Data Engineer,Egypt,Cairo,,Full Time
King Faisal Specialist Hospital & Research Centre,COMMUNICATIONS TECHNICIAN II,Saudi Arabia,Riyadh,,Full Time
Allsopp & Allsopp Recruitment,Business Setup Consultant - Russian Speaker,United Arab Emirates,Dubai,,Full Time
Hypemasters,Middle Unity Developer,United Arab Emirates,Dubai,,Full Time
Hypemasters,Middle Unity Developer,United Arab Emirates,Dubai,,Work From Home
Giza Arabia,Verint Collaboration Engineer,Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,SENIOR MRI TECHNOLOGIST,Saudi Arabia,Riyadh,,Full Time
Zain - Kuwait,Technical Opportunities for Recent Graduates,Kuwait,Kuwait City,,Full Time
