company,job_title,country,city,district,job_type
"Thales e-Security, Inc.",Project Management Officer PMO,United Arab Emirates,Abu Dhabi,,Full Time
"Reinsurance Group Of America, Incorporated",Treaty & Operations Analyst,United Arab Emirates,Dubai,,Full Time
Citco Group of Companies,Fund Services.Fund Accountant,United Arab Emirates,Abu Dhabi,,Full Time
Giza Arabia,Healthcare Senior Presales Consultant,Saudi Arabia,Riyadh,,Full Time
Eastern Health Cluster,Health Information Specialist - Coding,Saudi Arabia,Dammam,,Full Time
Giza Arabia,Application Support Engineer - KSA,Saudi Arabia,Riyadh,,Full Time
TGT group,Junior Well Log Analyst,Kuwait,Kuwait City,,Full Time
Rentokil Initial plc,Designer - Landscape,Saudi Arabia,Riyadh,,Full Time
Yanbu Aramco Sinopec Refining Company (YASREF),Corrosion Engineer II,Saudi Arabia,Yanbu,,Full Time
Giza Arabia,Project Coordinator - BC,Saudi Arabia,Riyadh,,Full Time
Rentokil Initial plc,Security Guard,Saudi Arabia,Jeddah,,Full Time
NOMAC,Senior Mechanical Engineer - Shuaibah Cluster,Saudi Arabia,Riyadh,,Full Time
World Food Program - Other locations,Information Management & Performance Reporting Officer NOA,Egypt,Cairo,,Full Time
World Food Program - Other locations,Programme Assistant (Data Analyst),Egypt,Cairo,,Full Time
Egabi FSI,Project Manager,Egypt,Cairo,Sheraton,Full Time
Confidential,BI Developer,Egypt,Cairo,Nasr City,Full Time
Our Education,"Software Engineer - (Laravel, Vue, Golang)",Egypt,Cairo,Nasr City,Full Time
Our Education,Senior Software Business Analyst / ERP,Egypt,Cairo,Nasr City,Full Time
SMARTTEL,Pre Sales Engineer-Low Current,Egypt,Cairo,Nasr City,Full Time
Confidential,Business Analyst,Egypt,Cairo,Nasr City,Full Time
Rashideen Egypt for Trade,System Administration Section Head,Egypt,Cairo,,Full Time
intrazero,Senior PHP Developer,Egypt,Cairo,Nasr City,Full Time
Confidential,IT Project Coordinator,Egypt,Cairo,Nasr City,Full Time
TEPCO S.A.E. Not Verified,Group IT Manager,Egypt,Giza,6th of October,Full Time
Nutanix,Sales Specialist – Nutanix Unified Storage (NUS) - Emerging Markets,Saudi Arabia,Riyadh,,Full Time
Hilti Nederland BV,Finance Graduate Development Program (UAE National),United Arab Emirates,Dubai,,Full Time
Antal International - Egypt,Back End Lead - Dot Net + Node / Python - Cairo,Egypt,Cairo,,Full Time
Wood,Senior Technical Safety Engineer,United Arab Emirates,Dubai,,Full Time
OA- Mastercard,"Director, Product Development - Cross Border Payments",United Arab Emirates,Dubai,,Full Time
Antal International - Egypt,Senior Machine Learning and NLP Engineer,Egypt,Cairo,,Full Time
Algoriza,Senior Full Stack Developer,Egypt,Giza,,Full Time
Rentokil Initial plc,Team Leader,Saudi Arabia,Riyadh,,Full Time
Jumia Technologies AG,Quality Assurance Engineer - Jumia (Full Time) Tech - Africa - Egypt,Egypt,Cairo,,Full Time
John Wood Group PLC,Process Manager,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Lead Pipeline Engineer - EOI,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Principal Instrument and Control Engineer,United Arab Emirates,Dubai,,Full Time
Confidential,Infrastructure SAN Storage and Data Protection Manager,Egypt,Cairo,,Full Time
intrazero,Project Manager at Software House,Egypt,Cairo,Nasr City,Full Time
Expleo,Senior Project Manager | Banking,Egypt,Cairo,Maadi,Full Time
Sceel.io,Node JS Developer,Egypt,Cairo,Maadi,Full Time
Sceel.io,Senior Ruby on rails Developer,Egypt,Cairo,Maadi,Full Time
Confidential,Front End Developer,Saudi Arabia,Dammam,,Full Time
Confidential,Front End Developer,Saudi Arabia,Dammam,,Work From Home
LINK TSP,Sr. Front End Developer,Egypt,Cairo,New Cairo,Full Time
Confidential,senior laravel developer,Saudi Arabia,Dammam,,Full Time
Confidential,senior laravel developer,Saudi Arabia,Dammam,,Work From Home
EAST,ERP Senior Specialist,Egypt,Cairo,Maadi,Full Time
Smartverse,Application Support Microsoft Dynamics AX2012R3,Egypt,Cairo,Heliopolis,Full Time
LxT,Data Engineer,Egypt,Giza,Agouza,Full Time
Confidential,Senior .Net Full Stack Developer,Egypt,Cairo,Sheraton,Full Time
Viavi Solutions,Full Stack Developer,Egypt,Cairo,Maadi,Full Time
Basata,Senior Linux Engineer,Egypt,Cairo,Mokattam,Full Time
Azm development,Product Owner,Egypt,Cairo,,Full Time
Azm development,Product Owner,Egypt,Cairo,,Work From Home
OdooTec,English speaking accountant who wants to shift career to IT,Egypt,Cairo,New Cairo,Full Time
GLOBAL AUTO,Information Technology Specialist,Egypt,Cairo,Sheraton,Full Time
WSC,Junior java developer,Egypt,Giza,Dokki,Full Time
Rescounts,Frontend React JS Developer,Canada,Mississauga,,Full Time
Rescounts,Frontend React JS Developer,Canada,Mississauga,,Work From Home
Confidential,UI UX Designer,Egypt,Cairo,Downtown,Full Time
Confidential,UI UX Designer,Egypt,Cairo,Downtown,Part Time
Confidential,UI UX Designer,Egypt,Cairo,Downtown,Work From Home
Confidential,React JS Developer,Egypt,Assiut,Abnub,Full Time
Confidential,React JS Developer,Egypt,Assiut,Abnub,Part Time
Confidential,React JS Developer,Egypt,Assiut,Abnub,Work From Home
KBR Inc.,Senior Procurement Engineer,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Lead Instrument Engineer,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,SECURITY MAN I,Saudi Arabia,Jeddah,,Full Time
UrbaCon Contracting & Trading Company,Data Analyst,Qatar,Doha,,Full Time
OA- Mastercard,Solution Engineer - Test & Learn Analytics,United Arab Emirates,Dubai,,Full Time
PwC - United Arab Emirates,Assurance - Risk - Senior Associate - Dubai,United Arab Emirates,Dubai,,Full Time
Wood,Senior Piping Designer,United Arab Emirates,Dubai,,Full Time
"GreatAuPair, LLC",Nanny required urgently,United Arab Emirates,Dubai,,Full Time
UrbaCon Contracting & Trading Company,Senior Technical & Design Manager,Saudi Arabia,Riyadh,,Full Time
"GreatAuPair, LLC",Every two weeks 4-5 hours babysitting in the evening,United Arab Emirates,Dubai,,Full Time
Teachanywhere,prep teachers - al ain january 2024,United Arab Emirates,Dubai,,Full Time
John Wood Group PLC,Engineering Manager,United Arab Emirates,Dubai,,Full Time
Parker Connect,Front Office Developer / Junior Desk Quant,United Arab Emirates,Dubai,,Full Time
APCO Worldwide LLC,Senior Designer,United Arab Emirates,Dubai,,Full Time
Confidential,IT Manager,Egypt,Giza,Mohandessin,Full Time
PwC - United Arab Emirates,Assurance Graduates - All KSA,Saudi Arabia,Riyadh,,Full Time
IFZA,LMS Executive,United Arab Emirates,Dubai,,Full Time
PwC - United Arab Emirates,Assurance Graduate - UAE,United Arab Emirates,Abu Dhabi,,Full Time
Sio365,RFQ - LEAD SHEETS,United Arab Emirates,Dubai,,Full Time
GHD,Resident Engineer,United Arab Emirates,Abu Dhabi,,Full Time
Farah Experiences LLC,Training Content Development Lead,United Arab Emirates,Dubai,,Full Time
SPIE,PIPING ENGINEER M/F,Qatar,Doha,,Full Time
Rescounts,Home based Backend Developer,Canada,Mississauga,,Full Time
Rescounts,Home based Backend Developer,Canada,Mississauga,,Work From Home
Farah Experiences LLC,Training Content Development Lead (Bilingual - Arabic and English),United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,SENIOR ENGAGEMENT ANALYST,Saudi Arabia,Riyadh,,Full Time
Axe Staffing & Recruiting,Sage Developer,United Arab Emirates,Dubai,,Full Time
Arqitek Advisory DMCC,Internship Programme,United Arab Emirates,Dubai,,Full Time
Wood,Senior Planning Engineer,United Arab Emirates,Dubai,,Full Time
UAE-Consulting.com,Project Manager,United Arab Emirates,Dubai,,Full Time
GroupM,"Performance Manager Riyadh, Na",Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,ARCHITECT II,Saudi Arabia,Jeddah,,Full Time
King Faisal Specialist Hospital & Research Centre,"ASSISTANT CONSULTANT, NEONATOLOGY",Saudi Arabia,Riyadh,,Full Time
PwC - United Arab Emirates,Assurance Graduates - Kuwait,Kuwait,Kuwait City,,Full Time
King Faisal Specialist Hospital & Research Centre,EXPEDITER III,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,QA/QC Engineer,Saudi Arabia,Riyadh,,Full Time
Brainlake Advertising LLC,Sr. UX/UI Designers,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,"ASSOCIATE CONSULTANT, INTENSIVIST",Saudi Arabia,Riyadh,,Full Time
Wood,Project Administrator,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,CYBER SECURITY RISK SPECIALIST,Saudi Arabia,Riyadh,,Full Time
PwC - United Arab Emirates,Assurance Graduates - Qatar,Qatar,Doha,,Full Time
King Faisal Specialist Hospital & Research Centre,ASSISTANT INVESTIGATOR,Saudi Arabia,Riyadh,,Full Time
Giza Arabia,IT Services Manager (ITSM),Saudi Arabia,Riyadh,,Full Time
Transguard group,PCS7 Engineer,United Arab Emirates,Abu Dhabi,,Full Time
Rose Rayhaan by Rotana,Pressman,United Arab Emirates,Dubai,,Full Time
ADCB Abu Dhabi Commercial Bank,Senior Solution Architect,United Arab Emirates,Abu Dhabi,,Full Time
Eastern Health Cluster,Information Technology Senior Specialist,Saudi Arabia,Dammam,,Full Time
KBR Inc.,Senior. Energy Optimization Engineer,United Arab Emirates,Abu Dhabi,,Full Time
Danone Waters (UK & Ireland) Ltd.,Healthcare Nutrition Specialist (Sharjah and Dubai)),United Arab Emirates,Dubai,,Full Time
Q Tech General Trading LLC,Program Manager - UAE National only,United Arab Emirates,Dubai,,Full Time
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,Software Engineer,Egypt,Alexandria,,Full Time
Teachanywhere,design technology teacher - al ain asap 2023,United Arab Emirates,Dubai,,Full Time
Giza Arabia Systems,Project Admin,Egypt,Cairo,,Full Time
Jasara Program Management Company,MEP Package Lead,Saudi Arabia,Riyadh,,Full Time
Al Futtaim Group - Other locations,Kaizen Promoter | Al Futtaim Automotive | Toyota Al Ain,United Arab Emirates,Dubai,,Full Time
Etihad Airways,FSTD Quality Engineer,United Arab Emirates,Abu Dhabi,,Full Time
New Energy Nexus,Program Manager,United Arab Emirates,Dubai,,Full Time
AECOM,Resident Engineer - Electrical (AADC Approval ),United Arab Emirates,Dubai,,Full Time
Schneider Electric - Egypt,Regional Cooling Service Expert (Cooling systems/HVAC systems),Egypt,Cairo,,Full Time
Wood,Principal Instrument and Control Engineer,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,HEAD OF ORGANIZATION ENGAGEMENT,Saudi Arabia,Riyadh,,Full Time
"GreatAuPair, LLC",Nanny wanted for part time childcare,United Arab Emirates,Dubai,,Full Time
King Faisal Specialist Hospital & Research Centre,SENIOR HEALTH INFORMATICS ANALYST,Saudi Arabia,Riyadh,,Full Time
ADNOC (Abu Dhabi National Oil Company),"Senior Engineer, HSE (MS)",United Arab Emirates,Abu Dhabi,,Full Time
Wood,Senior Cost Engineer,United Arab Emirates,Dubai,,Full Time
Antal International - Egypt,Senior Technical Talent Acquisition Consultant,Egypt,Cairo,,Full Time
DXC.technology,Test Engineer,Egypt,Cairo,,Full Time
PwC - United Arab Emirates,TLS COOPs - KSA,Saudi Arabia,Riyadh,,Full Time
PwC - United Arab Emirates,CA - IT Audit - Senior Associate - Riyadh,Saudi Arabia,Riyadh,,Full Time
Midea Group,IT operation and maintenance engineer,Egypt,Giza,6th of October,Full Time
Noases,Junior Computer Vision Engineer,Egypt,Cairo,,Full Time
IQRA Network,Customer Support Advisor,Egypt,Cairo,,Full Time
IQRA Network,Customer Support Advisor,Egypt,Cairo,,Work From Home
Confidential,PHP Developer required,Egypt,Cairo,Nasr City,Full Time
"Fortinet, Inc",Solutions Account Manager - SASE (KSA),Saudi Arabia,Riyadh,,Full Time
Almoosa Specialist Hospital,HIS - Application manager,Saudi Arabia,Riyadh,,Full Time
Zeal Capital Market (Seychelles) Limited,Trading Services Specialist,Egypt,Cairo,,Full Time
Schneider Electric - Egypt,Lead Management Engineer - French Speaker,Egypt,Cairo,,Full Time
PILLARS CONSULTANCY & RECRUITMENT,Sales Client Executive – Banking/Financial Services -Large Multinational IT,Egypt,Cairo,,Full Time
Giza Arabia,L1 Application Support Engineer,Saudi Arabia,Riyadh,,Full Time
Al Jaddaf Rotana,Information Technology Supervisor,United Arab Emirates,Dubai,,Full Time
Power International Holding,IT Systems Administrator,Qatar,Doha,,Full Time
Ernst & Young - MENA,IT Technology Associate - Riyadh (Nationals only),Saudi Arabia,Riyadh,,Full Time
NOMAC,Electrical Technician - Rabigh,Saudi Arabia,Rabigh,,Full Time
Latham & Watkins,Administration Specialist – Attorney Support,Saudi Arabia,Riyadh,,Full Time
Latham & Watkins,Attorney Support Specialist,Saudi Arabia,Riyadh,,Full Time
AFFSQUARE,Senior UI/UX Designer,Egypt,Cairo,Sheraton,Full Time
Evolvice GmbH,Senior Project Manager,Saudi Arabia,Riyadh,,Full Time
Confidential,Full Stack Developer - MERN,Egypt,Cairo,Nasr City,Full Time
Confidential,Full Stack Developer - MERN,Egypt,Cairo,Nasr City,Freelance / Project
Octane solutions,Mid Level Testing Engineer,Egypt,Cairo,,Full Time
Octane solutions,Senior Testing Engineer,Egypt,Cairo,,Full Time
Confidential,Digital Marketing Manager,Egypt,Cairo,Nasr City,Full Time
Ajar,Product Owner,Kuwait,Kuwait City,,Full Time
Confidential,PHP Backend Developer,Egypt,Alexandria,,Full Time
DXC.technology,Java Developer,Egypt,Cairo,,Full Time
Confidential,Flutter Mobile Developer,Egypt,Alexandria,,Full Time
Confidential,Data Analyst,Egypt,Alexandria,,Full Time
Confidential,Technical Support,Egypt,Alexandria,,Full Time
Raya Holding for Financial Investments,Senior Manager E-Payments Development,Egypt,Cairo,,Full Time
Raya Holding for Financial Investments,Senior Manager E-Payments Development,Egypt,Cairo,,Full Time
Confidential,Product Manager,Egypt,Alexandria,,Full Time
UrbaCon Contracting & Trading Company,Senior Landscape Project Manager,Saudi Arabia,Riyadh,,Full Time
Weatherford - United Kingdom,Professional Software Engineer,Kuwait,Kuwait City,,Full Time
SURE International Technology,Senior Front End Developer,Egypt,Cairo,Nasr City,Full Time
Xceed Contact Center,Information Security Senior Specialist,Egypt,Cairo,Maadi,Full Time
Ejada,Java Developer.,Egypt,Cairo,Heliopolis,Full Time
Ejada,Sr .NET Developer (KSA),Saudi Arabia,Riyadh,,Full Time
Roaya,Software Sales Account Manager,Egypt,Cairo,Maadi,Full Time
Aliaict,Digital Marketing Specialist,Egypt,Cairo,Nasr City,Full Time
softprograms,Software Development Team Leader (Java & Angular),Egypt,Cairo,Nasr City,Full Time
Arabian Advanced Systems,Senior React Developer,Egypt,Cairo,New Cairo,Full Time
Arabian Advanced Systems,Senior React Developer,Egypt,Cairo,New Cairo,Work From Home
Network International -Egypt,Online Live Support Senior Specialist,Egypt,Cairo,New Cairo,Full Time
DX Republic,Java Spring Boot Developer,Egypt,Cairo,Maadi,Full Time
softprograms,Software Business Analyst,Egypt,Cairo,Nasr City,Full Time
Samaya Electronics Egypt LTD,Embedded Hardware Senior Engineer,Egypt,Cairo,Nasr City,Full Time
softprograms,Senior Full Stack Developer (.NET Core & Angular),Egypt,Cairo,Nasr City,Full Time
softprograms,Senior Software Testing Engineer,Egypt,Cairo,Nasr City,Full Time
softprograms,Senior java Full Stack Developer (Spring Boot & Angular),Egypt,Cairo,Nasr City,Full Time
EEC Group,Junior Web Developer - Full Stack,Egypt,Cairo,Sheraton,Full Time
Arabian Advanced Systems,Service Delivery Manager,Saudi Arabia,Riyadh,,Full Time
Kian Alraqmih,SEO Specialist,Egypt,Dakahlia,Mansoura,Full Time
MICA,Network Instructor1,Egypt,Giza,Haram,Full Time
acwme,Technical Business Analyst and Project Manager,Egypt,Cairo,Downtown,Full Time
acwme,Technical Business Analyst and Project Manager,Egypt,Cairo,Downtown,Part Time
acwme,Technical Business Analyst and Project Manager,Egypt,Cairo,Downtown,Work From Home
Applus+,Technical Writer,Qatar,Doha,,Full Time
Al Rajhi Bank,Senior Manager Service Continuity and Crisis Management.048470,Saudi Arabia,Riyadh,,Full Time
John Wood Group PLC,Senior Process Engineer,United Arab Emirates,Dubai,,Full Time
"Honeywell International, Inc.",Intern Bachelors Cyber Sec,Egypt,Cairo,,Full Time
Kuehne & Nagel Logistics,Sea Logistics Expert- Systems and process,Egypt,Cairo,,Full Time
Jordan Dreams,Integration Architect,United Arab Emirates,Dubai,,Full Time
S.C. Johnson & Son Inc,"Senior Associate, Packaging Engineer",Egypt,Cairo,,Full Time
ADNOC (Abu Dhabi National Oil Company),Inspector,United Arab Emirates,Abu Dhabi,,Full Time
Raya Holding for Financial Investments,Infrastructure Manager,Egypt,Cairo,,Full Time
DP World,Manager – Enterprise System – HCM,United Arab Emirates,Dubai,,Full Time
SVTS,Senior Mobile Developer (Android),Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,CLINICAL ENGINEER II,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Senior PMV Workshop Engineer,Qatar,Doha,,Full Time
DP World,"Group Data Engineer Dubai, United Arab Emirates Posted on 10/09/2023",United Arab Emirates,Dubai,,Full Time
Al Bandar Rotana,Internship - Learning & Development - November 2023,United Arab Emirates,Dubai,,Full Time
The Saud Al-Babtain Center for Cardiac Medicine and Surgery,Consultant - Pediatric Intensive Care,Saudi Arabia,Dammam,,Full Time
ADCB Abu Dhabi Commercial Bank,Business Analyst,United Arab Emirates,Abu Dhabi,,Full Time
eBSEG,Senior Full Stack .Net Web Developer,Egypt,Cairo,Maadi,Full Time
Confidential,Quality Manager,Egypt,Cairo,New Cairo,Full Time
"HealthPlan Services, Inc.",Cyber Security Analyst,Saudi Arabia,Riyadh,,Full Time
Tazweed,Data Analyst,United Arab Emirates,Abu Dhabi,,Full Time
Qureos,Odoo Developer - Norconsult Telematics,Saudi Arabia,Riyadh,,Full Time
Kasrawy Group,CCTV Engineer (Light Current),Egypt,Giza,Abu Rawash,Full Time
Samh,Mid-Senior Frontend Developer (Vue.js - Remote),Saudi Arabia,Riyadh,,Full Time
Measuresoft oil and gas Services,web developer,Egypt,Cairo,New Cairo,Full Time
Confidential,Application Manager,Egypt,Cairo,New Cairo,Full Time
Confidential,Senior .NET Core Web Developer,Egypt,Cairo,,Full Time
Confidential,Senior Front End Developer (Angular Developer),Egypt,Cairo,,Full Time
Global Academic Foundation Hosting University of Hertfordshire UH,Application Support Officer,Egypt,Cairo,New Capital,Full Time
IT Pillars,Pre Sales Engineer,Egypt,Cairo,Nasr City,Full Time
IT Pillars,Network Technical Support,Egypt,Cairo,Nasr City,Full Time
IT Pillars,System Analyst,Egypt,Cairo,Nasr City,Full Time
DX Republic,Software Testing Team Lead,Egypt,Cairo,,Full Time
Confidential,SAP PP - QM / PM Consultant,Egypt,Sharqia,10th of Ramadan City,Full Time
Khatib & Alami,Senior Quality Auditor,Egypt,Cairo,,Full Time
Petrofac,Advisor I - HSSE,United Arab Emirates,Dubai,,Full Time
Hilti Nederland BV,Key Project Manager (NEOM),Saudi Arabia,Riyadh,,Full Time
Oracle - Egypt,ACS-CSS – Oracle Cloud Security Architect (,Saudi Arabia,Riyadh,,Full Time
Al Ahly Momkn for e-payment,Automation Testing Team Leader,Egypt,Cairo,Maadi,Full Time
eVision,Senior Software Developer,Egypt,Cairo,New Cairo,Full Time
SAMI Navantia,Combat Management System Engineer I,Saudi Arabia,Riyadh,,Full Time
"Goldbelt, Inc",Computer Network Support Specialist (Senior),Saudi Arabia,Qatif,,Full Time
GHD,Senior Electrical Engineer,United Arab Emirates,Abu Dhabi,,Full Time
UrbaCon Contracting & Trading Company,Technical Engineer - Mechanical,Saudi Arabia,Riyadh,,Full Time
King Faisal Specialist Hospital & Research Centre,ADMINISTRATIVE COORDINATOR I,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Senior Planning Engineer,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Hotel Maintenance Technician,Qatar,Doha,,Full Time
UrbaCon Contracting & Trading Company,Technical Engineer - Electrical,Saudi Arabia,Riyadh,,Full Time
Numrah,QA Mobile Engineer,Egypt,Cairo,,Full Time
Nature's Rule Egypt LLC,SAP Admin / IT Admin,Egypt,Cairo,New Cairo,Full Time
Jordan Dreams,Senior Consultant - Perioperative,United Arab Emirates,Dubai,,Full Time
AECOM,Senior Engineer - Testing & Commissioning,Saudi Arabia,Riyadh,,Full Time
Statements for Consulting,Senior IT Specialist (Help Desk & Technical Support),Egypt,Cairo,Boulaq,Full Time
,Business Analyst,United Arab Emirates,Dubai,,Full Time
Ultimate Solutions Egypt,TEMENOS INFINITY Architect,Egypt,Giza,Sheikh Zayed,Full Time
OdooTec,ERP Project Manager,Egypt,Cairo,New Cairo,Full Time
Sarmady,Senior Scrum Master,Egypt,Giza,,Full Time
Ultimate Solutions Egypt,TEMENOS INFINITY Developer,Egypt,Giza,Sheikh Zayed,Full Time
OdooTec,Software Development Team Lead,Egypt,Cairo,New Cairo,Full Time
Confidential,.net Developer,Egypt,Cairo,Sheraton,Full Time
Kick Start Interactive,System Analyst (Hybrid work),Egypt,Giza,Dokki,Full Time
Noases,Flutter Developers,Egypt,Cairo,Nasr City,Full Time
Noases,Full Stack Engineer,Egypt,Cairo,Nasr City,Full Time
INNOVA SOFT,Software tester / system analyst,Egypt,Cairo,,Full Time
INNOVA SOFT,Software tester / system analyst,Egypt,Cairo,,Work From Home
Riyadh Air,Senior Manager – Manpower Planning & Crew Control,Saudi Arabia,Riyadh,,Full Time
Riyadh Air,Product Manager – UX / UI,Saudi Arabia,Riyadh,,Full Time
Kuehne & Nagel Logistics,National Project Logistics Customer Excellence Manager,Egypt,Cairo,,Full Time
Gulf Business Machines PND,System Service Representative - Dammam,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Senior Technical Engineer 2,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Senior Project Engineer,Saudi Arabia,Riyadh,,Full Time
Schneider Electric - Egypt,Offer Marketing Senior Engineer,Egypt,Cairo,,Full Time
Virtuoso Group,General Manager Middle East & Africa,United Arab Emirates,Dubai,,Full Time
Al Futtaim Group - Other locations,AC Technician | Real Estate | Doha Festival City,Qatar,Doha,,Full Time
VAS Integrated Solutions,Presales Consultant – Dell Technologies,Egypt,Cairo,,Full Time
Algorium,C++ Software Engineer,United Arab Emirates,Dubai,,Full Time
Giza Arabia,IT Services Operations Manager (ITSM),Saudi Arabia,Riyadh,,Full Time
Dana Rayhaan,Information Technology Officer - Saudi National,Saudi Arabia,Dammam,,Full Time
Khalid Ali Alturki & Sons Company (Alturki Holding),Project Manager - NEOM,Saudi Arabia,Riyadh,,Full Time
Khalid Ali Alturki & Sons Company (Alturki Holding),Project Manager - Aramco,Saudi Arabia,Riyadh,,Full Time
Riyadh Air,Senior Manager – Dispatch,Saudi Arabia,Riyadh,,Full Time
Transguard group,Senior Manager - Assessment Design & Delivery,United Arab Emirates,Dubai,,Full Time
Johnson & Johnson,Business Support Specialist (UAE National),United Arab Emirates,Dubai,,Full Time
Eastern Health Cluster,Project Management Specialist,Saudi Arabia,Dammam,,Full Time
ADCB Abu Dhabi Commercial Bank,Senior Project Manager – Operational Excellence,United Arab Emirates,Abu Dhabi,,Full Time
UrbaCon Contracting & Trading Company,Senior Procurement Engineer,Qatar,Doha,,Full Time
VAS Integrated Solutions,Senior Channel Sale Manager - Fortinet,Egypt,Cairo,,Full Time
Algorium,Infrastructure Engineer,United Arab Emirates,Dubai,,Full Time
Ryanair,Ryanair Dubai Pilot Roadshow,United Arab Emirates,Dubai,,Full Time
VAS Integrated Solutions,Senior Presales Consultant - Fortinet,Egypt,Cairo,,Full Time
Schneider Electric - Egypt,Senior Technical Support Engineer,Egypt,Cairo,,Full Time
Sidra Medicine,Technician - Respiratory,Qatar,Doha,,Full Time
Riyadh Air,Senior Manager – Network Control,Saudi Arabia,Riyadh,,Full Time
UrbaCon Contracting & Trading Company,Senior QA/QC Engineer,Saudi Arabia,Riyadh,,Full Time
Schneider Electric - Egypt,Delegated Admin & CI Senior Expert,Egypt,Cairo,,Full Time
Riyadh Air,Manager – Technical Service Structures,Saudi Arabia,Riyadh,,Full Time
Riyadh Air,Manager – Cabin Crew Training & Standards,Saudi Arabia,Riyadh,,Full Time
Riyadh Air,Manager Flight Operations Engineering and Aircraft Performance,Saudi Arabia,Riyadh,,Full Time
Giza Arabia Systems,Delivery Manager - Scrum Master,Egypt,Cairo,,Full Time
Schneider Electric - Egypt,Project Controller Associate,Egypt,Cairo,,Full Time
Schneider Electric - Egypt,Software Solution Sales Engineer,Egypt,Cairo,,Full Time
GET Group- Egypt,Senior Application Support Engineer,Egypt,Cairo,Heliopolis,Full Time
TIS,IT Project Manager - Saudi Resident Only,Saudi Arabia,Riyadh,,Full Time
WSP,Security Consultant,United Arab Emirates,Sharjah,,Full Time
Egabi FSI,Senior Frontend Developer- Angular,Egypt,Cairo,Sheraton,Full Time
Saudi Petroleum Services Polytechnic,Academic EFL & Key Skills Instructor,Saudi Arabia,Dammam,,Full Time
Air Products (Middle East) FZE,Sr Project Engineer / Project Manager,Saudi Arabia,Riyadh,,Full Time
NPCC,Project Services Manager,United Arab Emirates,Dubai,,Full Time
Farah Experiences LLC,Entertainment Team Leader,United Arab Emirates,Dubai,,Full Time
ALSTOM Transmission & Distribution,Graduate Trainee Engineer - UAE National,United Arab Emirates,Dubai,,Full Time
Four Seasons Hotels and Resorts,Server - Luna Dubai,United Arab Emirates,Dubai,,Full Time
Giza Arabia Systems,Senior Channel Sale Manager - Fortinet,Egypt,Cairo,,Full Time
Giza Arabia Systems,Head of Technical Delivery-Smart Solutions,Egypt,Cairo,,Full Time
Basata,Technical Support,Egypt,Cairo,Mokattam,Full Time
King Faisal Specialist Hospital & Research Centre,ASSISTANT CONSULTANT NEUROSURGERY,Saudi Arabia,Medina,,Full Time
Arabian Advanced Systems,Oracle Developer,Egypt,Cairo,New Cairo,Full Time
Arabian Advanced Systems,Oracle Developer,Egypt,Cairo,New Cairo,Work From Home
"National Oilwell Varco, Inc.",Field Service Specialist (Oil & Gas): Dammam Saudi Arabia,Saudi Arabia,Riyadh,,Full Time
Giza Arabia Systems,Senior DevOps Engineer,Egypt,Cairo,,Full Time
"DigiFlight, Inc.",AH64D Maintenance Test Flight Evaluator,Kuwait,Kuwait City,,Full Time
John Wood Group PLC,PE III / Project Engineer,Saudi Arabia,Riyadh,,Full Time
Confidential,Hardware Sales Manager - KSA,Saudi Arabia,Riyadh,,Full Time
Go-live Solutions,Sales Account Manager,Saudi Arabia,Riyadh,,Full Time
Go-live Solutions,ERP Presales Engineer,Saudi Arabia,Riyadh,,Full Time
Erada,Data Engineer,Egypt,Cairo,Maadi,Full Time
ABANA Enterprises Group Co,Jr. Software Engineer,Saudi Arabia,Riyadh,,Full Time
Cyber Gate Defense,SOC Analyst,United Arab Emirates,Abu Dhabi,,Full Time
SOM,Project Manager - Senior Professional,United Arab Emirates,Dubai,,Full Time
WorldFish,Consultant (Gender and Social Inclusion),Egypt,Cairo,,Full Time
WorldFish,Consultant (Gender and Social Inclusion),Egypt,Cairo,,Work From Home
ABANA Enterprises Group Co,Network Administrator,Saudi Arabia,Riyadh,,Full Time
Giza Arabia Systems,DevOps Practice Manager,Egypt,Cairo,,Full Time
Giza Arabia Systems,Presales Consultant – Dell Technologies,Egypt,Cairo,,Full Time
King Faisal Specialist Hospital & Research Centre,MAIL SORTER I,Saudi Arabia,Riyadh,,Full Time
