company,job_title,country,city,district,job_category
Confidential,Front End Developer,Egypt,Alexandria,Sidi Bishr,IT/Software Development
Confidential,Front End Developer,Egypt,Alexandria,Sidi Bishr,Engineering - Telecom/Technology
Ejada,Azure Infrastructure Specialist,Egypt,Cairo,,IT/Software Development
Ejada,OCI Senior Cloud Architect,Egypt,Cairo,,IT/Software Development
Confidential,Senior App/ Software / Solution Architect,Egypt,Cairo,,IT/Software Development
Confidential,Senior App/ Software / Solution Architect,Egypt,Cairo,,Engineering - Telecom/Technology
Confidential,DevOps Principal Engineer,Egypt,Cairo,,IT/Software Development
Confidential,DevOps Principal Engineer,Egypt,Cairo,,Engineering - Telecom/Technology
Confidential,APP/Software Solution Architect,Egypt,Cairo,,Engineering - Construction/Civil/Architecture
Confidential,APP/Software Solution Architect,Egypt,Cairo,,IT/Software Development
Arabic Localizer,Front-End / React & React-Native Developer - Alexandria,Egypt,Alexandria,San Stefano,IT/Software Development
Arabic Localizer,Front-End / React & React-Native Developer - Alexandria,Egypt,Alexandria,San Stefano,Engineering - Telecom/Technology
Ofoq Consulting,System Analyst,Egypt,Cairo,,IT/Software Development
Ofoq Consulting,System Analyst,Egypt,Cairo,,Analyst/Research
3D Diagnostix,Senior Front-End Developer (Angular),Egypt,Cairo,Maadi,IT/Software Development
3D Diagnostix,Senior Front-End Developer (Angular),Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Kiromarble for marble and granite,It Specialist and System Administrator,Egypt,Cairo,Sheraton,Installation/Maintenance/Repair
Kiromarble for marble and granite,It Specialist and System Administrator,Egypt,Cairo,Sheraton,IT/Software Development
Kiromarble for marble and granite,It Specialist and System Administrator,Egypt,Cairo,Sheraton,Engineering - Telecom/Technology
Golden Gates,Senior Flutter Developer,Egypt,Giza,,IT/Software Development
Golden Gates,Senior Flutter Developer,Egypt,Giza,,Engineering - Telecom/Technology
Techjays,Full Stack Developer,India,Chennai,,IT/Software Development
YELO,program support,Egypt,Cairo,Sheraton,Customer Service/Support
YELO,program support,Egypt,Cairo,Sheraton,IT/Software Development
YELO,program support,Egypt,Cairo,Sheraton,Engineering - Telecom/Technology
TRIMETIS,Senior Frontend Developer (Vue.JS),Egypt,Cairo,,IT/Software Development
TRIMETIS,Senior PHP Developer,Egypt,Cairo,,IT/Software Development
Dedalus,Java Developer,Egypt,Cairo,Heliopolis,IT/Software Development
Confidential,SAP Consultant ( Business One ),Egypt,Cairo,Maadi,IT/Software Development
Confidential,SAP Consultant ( Business One ),Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Klik,Junior React Native App Developer,Egypt,Cairo,Maadi,IT/Software Development
Klik,Senior React Native App Developer,Egypt,Cairo,Maadi,IT/Software Development
Confidential,Applications Support,Egypt,Giza,6th of October,Installation/Maintenance/Repair
Confidential,Applications Support,Egypt,Giza,6th of October,IT/Software Development
Confidential,Applications Support,Egypt,Giza,6th of October,Engineering - Telecom/Technology
MMC,Next.js Frontend Developer,Saudi Arabia,Riyadh,,IT/Software Development
MMC,Next.js Frontend Developer,Saudi Arabia,Riyadh,,Engineering - Telecom/Technology
scandiweb,Senior PPC Specialist,Egypt,Cairo,,IT/Software Development
scandiweb,Senior PPC Specialist,Egypt,Cairo,,Marketing/PR/Advertising
scandiweb,PPC Specialist,Egypt,Cairo,,IT/Software Development
scandiweb,PPC Specialist,Egypt,Cairo,,Marketing/PR/Advertising
sios,WPF DEVELOPER,Egypt,Cairo,,IT/Software Development
Yassien & Partners Law Firm,It officer,Egypt,Giza,,IT/Software Development
softprograms,Senior Software Developer (Ionic + Angular),Egypt,Cairo,Nasr City,IT/Software Development
softprograms,Software Project Manager,Egypt,Cairo,Nasr City,IT/Software Development
softprograms,Software Project Manager,Egypt,Cairo,Nasr City,Project/Program Management
LxT,Senior Testing Automation Engineer,Egypt,Giza,Agouza,IT/Software Development
LxT,Senior Backend Engineer,Egypt,Giza,Agouza,IT/Software Development
Deutschland Technology Limited,Senior IT Specialist,Egypt,Cairo,Obour City,IT/Software Development
Deutschland Technology Limited,Senior IT Specialist,Egypt,Cairo,Obour City,Engineering - Telecom/Technology
Expert Apps,Senior Android Developer,Egypt,Cairo,Maadi,IT/Software Development
Expert Apps,Senior Android Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
Spatium Software,Software Architect,Egypt,Assiut,Assuit,IT/Software Development
Spatium Software,Software Architect,Egypt,Assiut,Assuit,Engineering - Telecom/Technology
Safa International Travel,System Administrator,Egypt,Giza,Dokki,Installation/Maintenance/Repair
Safa International Travel,System Administrator,Egypt,Giza,Dokki,IT/Software Development
Safa International Travel,System Administrator,Egypt,Giza,Dokki,Engineering - Telecom/Technology
Spatium Software,UI/UX Figma designer,Egypt,Assiut,Assuit,Creative/Design/Art
Spatium Software,UI/UX Figma designer,Egypt,Assiut,Assuit,IT/Software Development
